,Year,Time Occurred,Crime Code Description,Count,Hour
60735,2014,00:01:00,BATTERY - SIMPLE ASSAULT,110,0.01
60744,2014,00:01:00,BURGLARY,123,0.01
60745,2014,00:01:00,BURGLARY FROM VEHICLE,198,0.01
60795,2014,00:01:00,THEFT OF IDENTITY,989,0.01
60805,2014,00:01:00,VEHICLE - STOLEN,167,0.01
60809,2014,00:02:00,BATTERY - SIMPLE ASSAULT,1,0.02
60810,2014,00:02:00,BURGLARY,1,0.02
60816,2014,00:02:00,THEFT OF IDENTITY,1,0.02
60819,2014,00:03:00,BURGLARY,1,0.03
60820,2014,00:03:00,BURGLARY FROM VEHICLE,1,0.03
60827,2014,00:04:00,BATTERY - SIMPLE ASSAULT,1,0.04
60828,2014,00:04:00,BURGLARY,1,0.04
60835,2014,00:05:00,BATTERY - SIMPLE ASSAULT,70,0.05
60842,2014,00:05:00,BURGLARY,34,0.05
60843,2014,00:05:00,BURGLARY FROM VEHICLE,89,0.05
60882,2014,00:05:00,THEFT OF IDENTITY,272,0.05
60891,2014,00:05:00,VEHICLE - STOLEN,90,0.05
60905,2014,00:09:00,BATTERY - SIMPLE ASSAULT,1,0.09
60906,2014,00:09:00,BURGLARY,1,0.09
60910,2014,00:10:00,BATTERY - SIMPLE ASSAULT,50,0.1
60915,2014,00:10:00,BURGLARY,12,0.1
60916,2014,00:10:00,BURGLARY FROM VEHICLE,30,0.1
60944,2014,00:10:00,THEFT OF IDENTITY,9,0.1
60952,2014,00:10:00,VEHICLE - STOLEN,22,0.1
60955,2014,00:11:00,BURGLARY,1,0.11
60963,2014,00:13:00,BURGLARY,1,0.13
60964,2014,00:13:00,BURGLARY FROM VEHICLE,1,0.13
60970,2014,00:14:00,BURGLARY,1,0.14
60975,2014,00:15:00,BATTERY - SIMPLE ASSAULT,48,0.15
60980,2014,00:15:00,BURGLARY,22,0.15
60981,2014,00:15:00,BURGLARY FROM VEHICLE,34,0.15
61004,2014,00:15:00,THEFT OF IDENTITY,20,0.15
61014,2014,00:15:00,VEHICLE - STOLEN,27,0.15
61022,2014,00:17:00,BURGLARY,1,0.17
61025,2014,00:18:00,BURGLARY,2,0.18
61029,2014,00:19:00,BURGLARY,1,0.19
61035,2014,00:20:00,BATTERY - SIMPLE ASSAULT,51,0.2
61040,2014,00:20:00,BURGLARY,9,0.2
61041,2014,00:20:00,BURGLARY FROM VEHICLE,6,0.2
61069,2014,00:20:00,THEFT OF IDENTITY,5,0.2
61076,2014,00:20:00,VEHICLE - STOLEN,7,0.2
61080,2014,00:22:00,BURGLARY FROM VEHICLE,1,0.22
61084,2014,00:24:00,BATTERY - SIMPLE ASSAULT,1,0.24
61085,2014,00:24:00,BURGLARY,2,0.24
61091,2014,00:25:00,BATTERY - SIMPLE ASSAULT,14,0.25
